パッチバージョン,変更対象,変更概要,変更部分,変更前,変更後
patch9.1,カリスタ,基本ステータス,基本攻撃力,62,67
patch9.1,カリスタ,基本ステータス,レベルアップごとの基本攻撃力,3.6,4
patch9.1,カリスタ,基本ステータス,レベルアップごとの攻撃速度,3.5%,4%
patch9.1,カリスタ,基本ステータス,基本ダメージ,10/70/130/190/250,20/85/150/215/280
patch9.1,オーン,基本ステータス,レベルアップごとの体力,90,95
patch9.1,オーン,基本ステータス,基本体力自動回復（1秒ごと）,1.4,1.8
patch9.1,オーン,基本ステータス,レベルアップごとの体力自動回復（1秒ごと）,0.142,0.18
patch9.1,オーン,基本ステータス,レベルアップごとの基本物理防御,3,4
patch9.1,オーン,基本ステータス,基本攻撃力,67,69
patch9.1,セジュアニ,基本ステータス,レベルアップごとの体力,88,105
patch9.1,セジュアニ,基本ステータス,基本物理防御,31,34
patch9.1,セジュアニ,基本ステータス,レベルアップごとの基本物理防御,3,4.25
patch9.1,セジュアニ,基本ステータス,基本魔法防御,27.1,32.1
patch9.1,セジュアニ,基本ステータス,レベルアップごとの魔法防御,0.75,1.25
patch9.1,セジュアニ,基本ステータス,レベルアップごとの基本攻撃力,3,4
patch9.1,セジュアニ,基本ステータス,「氷結の鎧」の防御力,20/70/120（+合計物理・魔法防御の100%）の物理・魔法防御,20（+増加物理・魔法防御の25%）の物理・魔法防御
patch9.1,セジュアニ,基本ステータス,「氷結の鎧」が消えるまでの猶予,2秒,3秒
patch9.1,セジュアニ,基本ステータス,基本ダメージ,60/90/120/150/180,80/120/160/200/240
patch9.1,セジュアニ,基本ステータス,2撃目の基本ダメージ,30/65/100/135/170,30/70/110/150/190
patch9.1,ジンクス,W - シビレーザー！,詠唱時間,0.6秒,攻撃速度に応じて0.6～0.4秒（「Q - スイッチング！」による増加分も含め
patch9.1,カタリナ,E - 瞬歩,詠唱時間,ブリンク前に0.075秒とブリンク後に0.075秒,ブリンク後に0.15秒（Eを押した瞬間にカタリナがブリンクするようになりました）
patch9.1,ナサス,Q - サイフォンストライク,大型ターゲットキル時の獲得スタック数,チャンピオン、大型ミニオン、または大型モンスター1体のキルにつき6,チャンピオン、大型ミニオン、または大型モンスター1体のキルにつき12
patch9.1,ザヤ,E - ブレードコーラー,スネア効果時間,1秒,1.25秒
patch9.2,オレリオン・ソル,Q - 星の胎動,最短で再発動できるまでの時間,0.65秒,0.25秒（発動時にQを2回押すことで先行入力可能）
patch9.2,オレリオン・ソル,Q - 星の胎動,スタン効果時間,1.1/1.2/1.3/1.4/1.5秒,0.55/0.6/0.65/0.7/0.75秒、5秒移動すると1.65/1.8/1.95/2.1/2.25秒に増加
patch9.2,カシオペア,W - ミアズマ,クールダウン,18/17/16/15/14秒,18/17.5/17/16.5/16秒
patch9.2,カシオペア,W - ミアズマ,毎秒ダメージ,20/35/50/65/80,20/30/40/50/60
patch9.2,カシオペア,W - ミアズマ,最大ダメージ,100/175/250/325/400,100/150/200/250/300
patch9.2,ガリオ,Q - 戦の旋風,マナコスト,70/75/80/85/90マナ,80/90/100/110/120マナ
patch9.2,ガリオ,Q - 戦の旋風,突風の基本ダメージ,70/110/150/190/230,70/105/140/175/210
